,instance,burstTime,SPB,SPBch,burstDur,burstPeak,IBI,bISI_mean,bISI_CV,date,wellplateID,wellNo,runID,wellGroupName,wellGroupColor,Plating Date,control,assayTag,div
Instance,Instance,,Spikes per Burst,Spikes per Burst per Electrode,Burst Duration,Burst Peak Firing Rate,IBI,Mean Burst ISI,Burst ISI CV,Date,Wellplate ID,Well Number,Assay Run ID,Well Group Name,Well Group Color,,Control,Assay Tag,DIV
3790,5,1731.44,4634,4.74,0.5,8.72,1.63,45.95,1.6,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3791,5,1733.07,1449,1.48,0.24,4.65,1.84,26.07,1.04,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3792,5,1734.91,2071,2.12,0.32,5.87,1.19,33.24,1.21,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3793,5,1736.1,1717,1.76,0.22,5.16,2.62,23.46,0.94,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3794,5,1738.72,2348,2.4,0.25,6.64,1.45,20.7,1.04,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3795,5,1740.17,1459,1.49,0.25,4.46,1.26,28.46,0.95,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3796,5,1741.43,2128,2.18,0.24,6.21,2.46,17.44,0.99,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3797,5,1743.89,2523,2.58,0.28,7.28,1.08,24.38,1.08,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3798,5,1744.97,2180,2.23,0.29,6.11,1.54,33.95,1.24,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3799,5,1746.51,1886,1.93,0.24,5.57,1.12,19.27,1.03,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
